,id_loc,Annee,suffrage,1_tour,2_tour
228,91,1965,Blancs et nuls,1397,2765.0
229,91,1965,Votants,133209,134637.0
230,91,1965,Inscrits,156261,156252.0
231,91,1965,Exprimés,131812,131872.0
232,93,1965,Inscrits,1317096,1316766.0
233,93,1965,Votants,1164237,1167907.0
234,93,1965,Blancs et nuls,14411,27251.0
235,93,1965,Exprimés,1149826,1140656.0
236,96,1965,Inscrits,283198,283230.0
237,96,1965,Exprimés,245492,240233.0
238,96,1965,Votants,248698,247068.0
239,96,1965,Blancs et nuls,3206,6835.0
240,97,1965,Exprimés,144467,138367.0
241,97,1965,Inscrits,169026,169166.0
242,97,1965,Blancs et nuls,1490,4954.0
243,97,1965,Votants,145957,143321.0
244,99,1965,Votants,667319,670846.0
245,99,1965,Exprimés,659788,657275.0
246,99,1965,Blancs et nuls,7531,13571.0
247,99,1965,Inscrits,754447,754357.0
248,102,1965,Blancs et nuls,2213,6206.0
249,102,1965,Inscrits,315855,315834.0
250,102,1965,Exprimés,258371,254725.0
251,102,1965,Votants,260584,260931.0
252,104,1965,Votants,259436,256264.0
253,104,1965,Exprimés,257342,248817.0
254,104,1965,Blancs et nuls,2094,7447.0
255,104,1965,Inscrits,307350,307277.0
256,59,1965,Votants,114589,114675.0
257,59,1965,Blancs et nuls,972,2417.0
258,59,1965,Inscrits,139183,139157.0
259,59,1965,Exprimés,113617,112258.0
260,105,1965,Inscrits,162867,162797.0
261,105,1965,Blancs et nuls,1664,3854.0
262,105,1965,Exprimés,129914,129270.0
263,105,1965,Votants,131578,133124.0
264,14,1965,Inscrits,465601,467847.0
265,14,1965,Blancs et nuls,4649,6267.0
266,14,1965,Votants,389470,378287.0
267,14,1965,Exprimés,384821,372020.0
268,49,1965,Inscrits,340279,340182.0
269,49,1965,Votants,292417,288308.0
270,49,1965,Blancs et nuls,4974,10210.0
271,49,1965,Exprimés,287443,278098.0
272,108,1965,Exprimés,521929,493110.0
273,108,1965,Inscrits,623073,623065.0
274,108,1965,Blancs et nuls,4056,20630.0
275,108,1965,Votants,525985,513740.0
276,54,1965,Blancs et nuls,1394,3154.0
277,54,1965,Votants,112934,114572.0
278,54,1965,Inscrits,131843,131810.0
279,54,1965,Exprimés,111540,111418.0
280,113,1965,Blancs et nuls,2309,7226.0
281,113,1965,Votants,265220,267036.0
282,113,1965,Inscrits,330416,330292.0
283,113,1965,Exprimés,262911,259810.0
284,114,1965,Votants,227683,227185.0
285,114,1965,Exprimés,224891,221057.0
286,114,1965,Blancs et nuls,2792,6128.0
287,114,1965,Inscrits,267118,266850.0
288,115,1965,Votants,129239,130302.0
289,115,1965,Exprimés,128373,126904.0
290,115,1965,Inscrits,161284,161238.0
291,115,1965,Blancs et nuls,866,3398.0
292,55,1965,Exprimés,164735,161583.0
293,55,1965,Votants,165854,166365.0
294,55,1965,Inscrits,201066,201024.0
295,55,1965,Blancs et nuls,1119,4782.0
296,117,1965,Votants,2780002,2716430.0
297,117,1965,Exprimés,2755863,2639147.0
298,117,1965,Inscrits,3220059,3218731.0
299,117,1965,Blancs et nuls,24139,77283.0
300,119,1965,Votants,533266,527938.0
301,119,1965,Inscrits,620379,620227.0
302,119,1965,Exprimés,528142,511192.0
303,119,1965,Blancs et nuls,5124,16746.0
304,118,1965,Blancs et nuls,3075,7946.0
305,118,1965,Votants,279234,275482.0
306,118,1965,Exprimés,276159,267536.0
307,118,1965,Inscrits,324024,323844.0
308,135,1965,Inscrits,1414232,1413312.0
309,135,1965,Votants,1244571,1222421.0
310,135,1965,Exprimés,1233482,1189766.0
311,135,1965,Blancs et nuls,11089,32655.0
312,31,1965,Exprimés,168008,164058.0
313,31,1965,Blancs et nuls,1912,6229.0
314,31,1965,Inscrits,199663,199662.0
315,31,1965,Votants,169920,170287.0
316,121,1965,Votants,266578,266563.0
317,121,1965,Exprimés,263331,260190.0
318,121,1965,Blancs et nuls,3247,6373.0
319,121,1965,Inscrits,296674,296537.0
320,122,1965,Exprimés,179665,177425.0
321,122,1965,Inscrits,208056,207872.0
322,122,1965,Votants,182728,183452.0
323,122,1965,Blancs et nuls,3063,6027.0
324,123,1965,Inscrits,111336,111259.0
325,123,1965,Blancs et nuls,1423,2969.0
326,123,1965,Exprimés,95021,93950.0
327,123,1965,Votants,96444,96919.0
328,127,1965,Inscrits,313027,312992.0
329,127,1965,Blancs et nuls,2836,6320.0
330,127,1965,Exprimés,256848,251982.0
331,127,1965,Votants,259684,258302.0
332,128,1965,Exprimés,165101,161618.0
333,128,1965,Inscrits,194343,194235.0
334,128,1965,Blancs et nuls,2691,5534.0
335,128,1965,Votants,167792,167152.0
336,129,1965,Votants,221617,221007.0
337,129,1965,Blancs et nuls,3027,9024.0
338,129,1965,Exprimés,218590,211983.0
339,129,1965,Inscrits,254569,254126.0
340,131,1965,Blancs et nuls,2124,5380.0
341,131,1965,Exprimés,171828,167878.0
342,131,1965,Votants,173952,173258.0
343,131,1965,Inscrits,206914,206752.0
344,57,1965,Exprimés,188893,189829.0
345,57,1965,Votants,191261,193547.0
346,57,1965,Inscrits,226817,226734.0
347,57,1965,Blancs et nuls,2368,3718.0
348,132,1965,Exprimés,192104,189738.0
349,132,1965,Blancs et nuls,3186,5924.0
350,132,1965,Inscrits,230176,230192.0
351,132,1965,Votants,195290,195662.0
352,134,1965,Exprimés,144083,140925.0
353,134,1965,Blancs et nuls,1680,4328.0
354,134,1965,Votants,145763,145253.0
355,134,1965,Inscrits,172499,172507.0
356,124,1965,Votants,54010,54277.0
357,124,1965,Inscrits,64222,64220.0
358,124,1965,Exprimés,53474,52960.0
