id_loc,Annee,id_cndt,1_tour,2_tour
96,1965,53,73994,103248.0
96,1965,68,11374,
96,1965,44,33526,
96,1965,4,3278,
96,1965,18,119008,136985.0
96,1965,50,4312,
97,1965,4,1614,
97,1965,18,73803,92963.0
97,1965,53,26121,45404.0
97,1965,50,2727,
97,1965,44,34145,
97,1965,68,6057,
99,1965,44,65954,
99,1965,53,264052,322832.0
99,1965,50,7429,
99,1965,68,20296,
99,1965,4,6776,
99,1965,18,295281,334443.0
102,1965,50,6320,
102,1965,4,3338,
102,1965,44,36771,
102,1965,53,91811,122990.0
102,1965,68,14375,
102,1965,18,105756,131735.0
104,1965,68,23226,
104,1965,50,4006,
104,1965,4,2179,
104,1965,44,48946,
104,1965,53,60489,101184.0
104,1965,18,118496,147633.0
105,1965,53,53010,74358.0
105,1965,68,13456,
105,1965,50,1778,
105,1965,18,45163,54912.0
105,1965,44,15379,
105,1965,4,1128,
108,1965,50,10051,
108,1965,18,197913,263416.0
108,1965,68,34272,
108,1965,44,110182,
108,1965,4,7785,
108,1965,53,161726,229694.0
113,1965,4,3046,
113,1965,53,93846,126589.0
113,1965,18,106752,133221.0
113,1965,44,42548,
113,1965,68,12447,
113,1965,50,4272,
114,1965,44,39342,
114,1965,53,73254,102672.0
114,1965,18,95960,118385.0
114,1965,4,2573,
114,1965,50,4212,
114,1965,68,9550,
115,1965,53,42795,58468.0
115,1965,44,22296,
115,1965,68,5964,
115,1965,18,53185,68436.0
115,1965,50,2286,
115,1965,4,1847,
117,1965,4,37555,
117,1965,18,1152349,1385847.0
117,1965,44,398464,
117,1965,68,132616,
117,1965,50,51426,
117,1965,53,983453,1253300.0
118,1965,18,126260,149593.0
118,1965,68,13031,
118,1965,50,5073,
118,1965,44,43412,
118,1965,53,84691,117943.0
118,1965,4,3692,
119,1965,18,217420,263685.0
119,1965,50,7221,
119,1965,44,101889,
119,1965,68,17012,
119,1965,4,5710,
119,1965,53,178890,247507.0
121,1965,18,121271,140125.0
121,1965,4,2952,
121,1965,50,3295,
121,1965,44,32240,
121,1965,68,10191,
121,1965,53,93382,120065.0
122,1965,44,27930,
122,1965,53,68565,96445.0
122,1965,50,3362,
122,1965,68,13074,
122,1965,4,2051,
122,1965,18,64683,80980.0
123,1965,44,13867,
123,1965,18,32736,41562.0
123,1965,68,9217,
123,1965,50,2050,
123,1965,4,943,
123,1965,53,36208,52388.0
124,1965,68,1778,
124,1965,18,23935,28354.0
124,1965,50,604,
124,1965,53,18137,24606.0
124,1965,4,679,
124,1965,44,8341,
127,1965,4,2720,
127,1965,44,27334,
127,1965,50,4781,
127,1965,68,36096,
127,1965,18,101018,119531.0
127,1965,53,84899,132451.0
128,1965,68,20108,
128,1965,53,63053,94319.0
128,1965,4,2697,
128,1965,50,3892,
128,1965,44,21452,
128,1965,18,53899,67299.0
129,1965,4,1688,
129,1965,53,37960,61147.0
129,1965,50,3869,
129,1965,44,52448,
129,1965,18,112640,150836.0
129,1965,68,9985,
131,1965,53,47187,71917.0
131,1965,44,31679,
131,1965,18,78509,95961.0
131,1965,50,3819,
131,1965,68,8767,
131,1965,4,1867,
132,1965,44,30463,
132,1965,18,100820,119353.0
132,1965,4,2711,
132,1965,53,48658,70385.0
132,1965,50,2456,
132,1965,68,6996,
134,1965,44,23261,
134,1965,18,64148,77941.0
134,1965,4,1677,
134,1965,53,45257,62984.0
134,1965,50,2315,
134,1965,68,7425,
135,1965,18,515091,616617.0
135,1965,50,23824,
135,1965,44,173366,
135,1965,53,441356,573149.0
135,1965,68,60525,
135,1965,4,19320,
1,1969,37,1357,
1,1969,23,26274,
1,1969,57,67929,75667.0
1,1969,56,38197,53270.0
1,1969,21,5820,
1,1969,22,1895,
1,1969,60,4858,
2,1969,60,7966,
2,1969,21,9566,
2,1969,57,95894,106414.0
2,1969,22,3806,
2,1969,23,65433,
